,Fecha,Precipitacion,Evaporacion,Tmax,Tmin,Año,Mes
18,1974-07-01,0.0,7.3,35.0,22.0,1974,7
19,1974-07-02,0.0,10.5,34.0,22.5,1974,7
20,1974-07-03,0.0,13.6,31.5,21.0,1974,7
21,1974-07-04,0.0,10.7,41.0,28.0,1974,7
22,1974-07-05,0.0,10.9,35.0,28.0,1974,7
23,1974-07-06,0.0,11.4,32.0,29.0,1974,7
24,1974-07-07,0.0,9.4,31.5,26.0,1974,7
25,1974-07-08,0.0,10.1,32.0,26.0,1974,7
26,1974-07-09,0.0,7.4,32.0,26.0,1974,7
27,1974-07-10,0.0,12.3,34.0,25.0,1974,7
28,1974-07-11,0.0,6.2,31.0,26.0,1974,7
29,1974-07-12,18.8,5.5,31.5,28.0,1974,7
30,1974-07-13,0.0,7.1,31.5,22.0,1974,7
31,1974-07-14,0.0,8.0,31.0,23.0,1974,7
32,1974-07-15,0.0,8.6,32.0,25.0,1974,7
33,1974-07-16,0.0,5.7,35.0,21.0,1974,7
34,1974-07-17,23.0,4.3,33.0,23.0,1974,7
35,1974-07-18,0.0,2.9,29.0,22.0,1974,7
36,1974-07-19,0.0,5.6,31.0,24.0,1974,7
37,1974-07-20,0.0,,31.5,24.0,1974,7
38,1974-07-21,0.0,8.8,32.0,27.0,1974,7
39,1974-07-22,0.0,7.2,32.0,27.0,1974,7
40,1974-07-23,0.0,8.7,33.0,26.0,1974,7
41,1974-07-24,0.0,7.5,32.5,27.0,1974,7
42,1974-07-25,0.0,5.7,32.5,26.0,1974,7
43,1974-07-26,0.0,6.7,32.0,22.0,1974,7
44,1974-07-27,6.0,6.4,35.0,22.0,1974,7
45,1974-07-28,4.0,7.2,33.0,22.0,1974,7
46,1974-07-29,0.0,3.6,32.0,25.0,1974,7
47,1974-07-30,0.0,4.6,32.0,25.0,1974,7
48,1974-07-31,0.0,6.5,34.0,26.0,1974,7
49,1974-08-01,6.0,,32.0,23.0,1974,8
50,1974-08-02,0.0,16.0,32.0,26.0,1974,8
51,1974-08-03,0.0,5.8,34.0,27.0,1974,8
52,1974-08-04,0.0,4.1,33.0,23.0,1974,8
53,1974-08-05,0.0,10.5,33.0,27.0,1974,8
54,1974-08-06,0.0,9.1,35.0,26.0,1974,8
55,1974-08-07,0.0,6.8,33.0,28.0,1974,8
56,1974-08-08,0.0,8.6,33.0,28.0,1974,8
57,1974-08-09,0.0,8.9,32.0,25.0,1974,8
58,1974-08-10,0.0,7.3,32.5,26.0,1974,8
59,1974-08-11,0.0,8.9,33.0,26.0,1974,8
60,1974-08-12,0.0,8.1,33.0,27.0,1974,8
61,1974-08-13,0.0,9.6,34.0,26.0,1974,8
62,1974-08-14,0.0,9.0,34.0,22.0,1974,8
63,1974-08-15,0.0,8.7,34.0,22.0,1974,8
64,1974-08-16,0.0,9.9,35.0,20.0,1974,8
65,1974-08-17,0.0,9.8,35.5,27.0,1974,8
66,1974-08-18,0.0,9.5,34.0,22.5,1974,8
67,1974-08-19,0.0,7.3,34.0,27.0,1974,8
68,1974-08-20,0.0,9.7,32.0,28.0,1974,8
69,1974-08-21,0.0,8.8,33.0,26.0,1974,8
70,1974-08-22,0.0,11.5,33.0,26.0,1974,8
71,1974-08-23,0.0,5.8,34.5,21.0,1974,8
72,1974-08-24,0.0,9.3,34.0,22.0,1974,8
